Replication,Phoenix_Avg,Denver_Avg,Chicago_Avg,Atlanta_Avg
1,12.3801,96.3333,165.2456,126.0409
2,12.8012,97.9825,166.7953,122.4211
3,12.3684,99.2164,163.3333,125.0819
4,13.2105,95.0819,164.2339,127.4737
5,12.0760,97.6550,166.4912,123.7778
6,12.8363,98.6959,165.5614,122.9064
7,13.0409,96.4152,164.8713,125.6725
8,12.3918,97.0702,166.9825,123.5556
9,12.5556,96.0292,165.5556,125.8596
10,13.3626,98.2749,165.8830,122.4795
11,12.5614,99.5439,165.2047,122.6901
12,12.5497,98.8772,164.3099,124.2632
13,12.8655,94.7368,167.0994,125.2982
14,11.4269,99.5789,164.1988,124.7953
15,12.3158,99.6257,164.0526,124.0058
16,12.1579,96.5731,167.4269,123.8421
17,12.6901,98.5088,164.3509,124.4503
18,13.0702,97.0994,163.7953,126.0351
19,11.1754,96.9123,167.9649,123.9474
20,12.2749,97.8129,166.6433,123.2690
21,12.3041,97.1930,167.1579,123.3450
22,13.3509,94.8889,166.4795,125.2807
23,13.1637,97.4561,165.6374,123.7427
24,12.6316,97.1170,163.7310,126.5205
25,13.0117,98.0468,164.5146,124.4269
26,11.7895,95.7778,166.0058,126.4269
27,12.2339,96.9298,164.6550,126.1813
28,12.3977,96.0234,165.6667,125.9123
29,13.3275,94.7661,165.8772,126.0292
30,12.6199,97.4561,164.6374,125.2865
31,12.1170,99.6374,166.2865,121.9591
32,12.1637,98.0058,165.2982,124.5322
33,11.6374,97.1579,165.3041,125.9006
34,13.3684,96.7719,165.8012,124.0585
35,12.6608,96.1228,166.7953,124.4211
36,11.3684,99.1111,164.3275,125.1930
37,12.6257,99.2339,164.4503,123.6901
38,12.7661,97.5789,166.1111,123.5439
39,12.4152,97.6316,164.1696,125.7836
40,11.4678,97.1871,166.6725,124.6725
41,12.8655,97.7602,165.3509,124.0234
42,12.6082,96.7836,164.8129,125.7953
43,11.9064,100.0292,163.5029,124.5614
44,12.4971,96.5263,167.5322,123.4444
45,12.1404,96.1988,167.9181,123.7427
46,13.1111,98.1696,166.1754,122.5439
47,12.0117,97.6023,166.0292,124.3567
48,11.9591,98.0526,166.3977,123.5906
49,12.6784,97.2398,166.1462,123.9357
50,13.0643,97.6433,164.5263,124.7661
51,12.0000,97.7251,164.8538,125.4211
52,12.2456,96.9591,166.7193,124.0760
53,11.9825,95.3333,165.8596,126.8246
54,11.9006,98.3275,166.4912,123.2807
55,12.1871,95.4971,168.1228,124.1930
56,11.8772,98.6667,165.7953,123.6608
57,12.9825,98.4152,164.6433,123.9591
58,12.2456,97.9123,163.0936,126.7485
59,10.5848,100.8538,166.8947,121.6667
60,11.9064,97.4152,167.1520,123.5263
61,12.9649,96.6316,166.4737,123.9298
62,11.5673,98.2164,164.2105,126.0058
63,11.7895,96.9123,165.4737,125.8246
64,12.0702,98.5556,164.0585,125.3158
65,12.9825,97.9415,165.3626,123.7135
66,12.6491,95.6784,167.0117,124.6608
67,12.0234,99.3743,167.1988,121.4035
68,12.5673,96.9708,166.3216,124.1404
69,12.7427,96.2690,165.2865,125.7018
70,12.8421,97.9006,165.8713,123.3860
71,12.0234,98.5673,163.6550,125.7544
72,11.5673,96.0585,166.9064,125.4678
73,13.6199,97.5497,164.4912,124.3392
74,12.7602,100.2047,166.0585,120.9766
75,12.5439,97.8129,165.8947,123.7485
76,11.2865,99.3216,164.6374,124.7544
77,12.4971,97.2982,165.7193,124.4854
78,13.2164,96.9123,167.2047,122.6667
79,13.0234,97.3099,165.6491,124.0175
80,12.3977,97.4737,165.4386,124.6901
81,12.3918,96.3275,166.9181,124.3626
82,12.8187,95.4561,164.8596,126.8655
83,11.8596,95.9006,166.0351,126.2047
84,11.7953,98.8246,166.5497,122.8304
85,12.8421,97.3275,167.6959,122.1345
86,12.9649,97.6608,163.7544,125.6199
87,12.4678,99.8538,161.9064,125.7719
88,12.9708,97.2281,166.7018,123.0994
89,13.2924,98.2047,164.7602,123.7427
90,12.5029,96.6667,165.8772,124.9532
91,12.2749,97.0819,166.0526,124.5906
92,12.2573,96.9883,168.4678,122.2865
93,11.9181,97.7661,167.6023,122.7135
94,13.2924,95.2632,165.8421,125.6023
95,12.1345,98.1345,165.8129,123.9181
96,11.7895,98.9474,165.8012,123.4620
97,12.8772,97.6842,164.0643,125.3743
98,11.6316,95.4620,167.1053,125.8012
99,13.4737,96.0877,166.4503,123.9883
100,12.5848,96.6374,166.4561,124.3216
101,11.8772,97.5497,167.9123,122.6608
102,12.7310,94.8421,167.0409,125.3860
103,12.7485,99.2105,164.5497,123.4912
