Week,Phoenix,Denver,Chicago,Atlanta
0,100.0000,100.0000,100.0000,100.0000
1,72.9366,94.0219,130.0863,102.9552
2,54.1165,92.8218,145.7910,107.2707
3,41.1118,93.3190,154.2858,111.2834
4,32.0766,94.2147,159.1107,114.5980
5,25.8739,95.1029,161.6195,117.4037
6,21.5940,95.9175,163.0101,119.4784
7,18.6909,96.5734,163.8633,120.8724
8,16.7007,96.8687,164.3388,122.0918
9,15.3834,97.1234,164.6224,122.8708
10,14.4470,97.1271,165.0316,123.3943
11,13.8299,97.2442,165.2360,123.6899
12,13.3889,97.3960,165.4339,123.7812
13,13.0850,97.5051,165.3737,124.0362
14,12.8836,97.6545,165.3746,124.0873
15,12.7765,97.7669,165.2925,124.1641
16,12.6756,97.8123,165.2825,124.2296
17,12.6099,97.7173,165.3431,124.3297
18,12.6216,97.5470,165.4919,124.3395
19,12.5503,97.4698,165.5105,124.4694
20,12.5177,97.5932,165.5547,124.3344
21,12.4867,97.5835,165.5519,124.3779
22,12.4624,97.6716,165.6510,124.2150
23,12.4250,97.7017,165.6369,124.2364
24,12.4182,97.8535,165.5397,124.1886
25,12.4285,97.8040,165.5828,124.1847
26,12.4772,97.8449,165.4655,124.2124
27,12.4830,97.8846,165.4130,124.2194
28,12.4832,97.7743,165.4013,124.3412
29,12.4524,97.9161,165.2527,124.3788
30,12.4757,97.8784,165.3048,124.3411
31,12.5121,97.8106,165.4772,124.2001
32,12.4987,97.7109,165.4900,124.3004
33,12.4757,97.7090,165.5732,124.2421
34,12.4570,97.6319,165.6411,124.2700
35,12.4459,97.6366,165.6197,124.2978
36,12.4279,97.6792,165.5656,124.3273
37,12.4234,97.6185,165.6022,124.3559
38,12.4540,97.6461,165.5861,124.3138
39,12.4108,97.6513,165.6270,124.3109
40,12.4111,97.7321,165.5877,124.2691
41,12.4036,97.7526,165.4559,124.3879
42,12.4597,97.6906,165.5330,124.3167
43,12.4623,97.6501,165.6059,124.2817
44,12.4651,97.6049,165.5208,124.4092
45,12.4444,97.6243,165.4858,124.4455
46,12.4502,97.5906,165.4993,124.4599
47,12.4707,97.7747,165.4812,124.2734
48,12.4605,97.5896,165.5848,124.3651
49,12.4843,97.7099,165.4866,124.3192
50,12.4722,97.6042,165.6326,124.2910
51,12.4745,97.6190,165.4616,124.4449
52,12.4652,97.6261,165.5154,124.3933
53,12.4579,97.6988,165.5086,124.3347
54,12.4054,97.7401,165.5697,124.2848
55,12.4354,97.7074,165.5294,124.3278
56,12.4144,97.6251,165.5705,124.3900
57,12.3840,97.7219,165.3801,124.5140
58,12.4162,97.7157,165.5703,124.2978
59,12.4619,97.6469,165.6757,124.2155
60,12.4504,97.5789,165.6416,124.3291
61,12.4758,97.6058,165.5619,124.3565
62,12.4967,97.7268,165.4217,124.3548
63,12.5129,97.6647,165.5146,124.3078
64,12.5001,97.7215,165.5802,124.1982
65,12.4664,97.8332,165.3605,124.3399
66,12.4500,97.7952,165.4540,124.3008
67,12.3843,97.7073,165.5566,124.3518
68,12.3340,97.7315,165.6799,124.2546
69,12.3711,97.8252,165.4365,124.3672
70,12.3741,97.8613,165.3194,124.4452
71,12.3759,97.8120,165.1730,124.6391
72,12.3890,97.7281,165.4934,124.3895
73,12.3783,97.7682,165.5839,124.2696
74,12.4108,97.6670,165.6066,124.3156
75,12.4627,97.6904,165.5661,124.2808
76,12.5121,97.6927,165.5709,124.2243
77,12.4641,97.7696,165.6776,124.0887
78,12.4919,97.6978,165.4959,124.3144
79,12.4750,97.6655,165.3626,124.4969
80,12.4892,97.6210,165.4592,124.4306
81,12.4442,97.6004,165.5695,124.3859
82,12.4656,97.6424,165.5796,124.3124
83,12.4862,97.5989,165.6178,124.2971
84,12.5043,97.6278,165.4572,124.4107
85,12.4880,97.6315,165.5396,124.3409
86,12.4421,97.7731,165.4066,124.3782
87,12.4234,97.7799,165.4746,124.3221
88,12.4067,97.6723,165.4242,124.4968
89,12.4317,97.6804,165.3586,124.5293
90,12.3839,97.6153,165.5278,124.4730
91,12.3855,97.6628,165.5805,124.3712
92,12.4248,97.7014,165.6330,124.2408
93,12.3900,97.6537,165.6415,124.3148
94,12.4140,97.7198,165.5612,124.3050
95,12.3669,97.6268,165.5995,124.4068
96,12.3754,97.6055,165.7093,124.3098
97,12.4034,97.6568,165.5345,124.4053
98,12.4264,97.6347,165.6280,124.3109
99,12.4236,97.6810,165.5165,124.3789
100,12.3813,97.6457,165.4827,124.4903
101,12.3713,97.5748,165.5891,124.4648
102,12.4076,97.5116,165.6213,124.4595
103,12.4318,97.6243,165.5810,124.3629
104,12.3877,97.6949,165.6568,124.2606
105,12.4364,97.8447,165.4173,124.3016
106,12.4367,97.7736,165.3540,124.4357
107,12.4102,97.7282,165.4740,124.3876
108,12.4381,97.6723,165.4751,124.4145
109,12.4736,97.6035,165.5786,124.3443
110,12.4449,97.6464,165.6029,124.3058
111,12.4489,97.6710,165.6441,124.2360
112,12.4457,97.6381,165.6250,124.2912
113,12.4037,97.7253,165.5874,124.2836
114,12.4209,97.7049,165.5549,124.3193
115,12.3947,97.7845,165.5278,124.2930
116,12.4483,97.7454,165.4899,124.3164
117,12.4361,97.6869,165.4898,124.3872
118,12.4194,97.7031,165.5445,124.3330
119,12.4380,97.7621,165.3249,124.4750
120,12.4291,97.5671,165.5802,124.4236
121,12.4259,97.7724,165.4567,124.3450
122,12.4073,97.7399,165.5531,124.2997
123,12.4370,97.7348,165.6245,124.2037
124,12.4181,97.7654,165.5625,124.2540
125,12.4579,97.7478,165.7294,124.0649
126,12.4710,97.8729,165.4908,124.1653
127,12.5127,97.7539,165.5829,124.1505
128,12.4414,97.7500,165.6538,124.1548
129,12.4455,97.7433,165.4800,124.3312
130,12.4430,97.7200,165.6260,124.2110
131,12.4511,97.7693,165.5468,124.2328
132,12.4608,97.5807,165.6929,124.2656
133,12.4509,97.5719,165.6087,124.3685
134,12.4295,97.5046,165.6248,124.4411
135,12.4032,97.4950,165.5715,124.5303
136,12.4697,97.5758,165.5429,124.4116
137,12.4808,97.6757,165.5696,124.2739
138,12.4752,97.8029,165.6438,124.0781
139,12.4641,97.8491,165.5586,124.1282
140,12.4174,97.7282,165.7156,124.1388
141,12.4380,97.7491,165.7152,124.0977
142,12.4540,97.8121,165.4404,124.2935
143,12.4387,97.7361,165.5229,124.3023
144,12.4390,97.7001,165.4723,124.3886
145,12.4597,97.6590,165.5355,124.3458
146,12.4873,97.7431,165.4877,124.2819
147,12.4627,97.5966,165.6314,124.3093
