Replication,Phoenix,Denver,Chicago,Atlanta
1,12.3801,96.3333,165.246,126.041
2,12.8012,97.9825,166.795,122.421
3,12.3684,99.2164,163.333,125.082
4,13.2105,95.0819,164.234,127.474
5,12.076,97.655,166.491,123.778
6,12.8363,98.6959,165.561,122.906
7,13.0409,96.4152,164.871,125.673
8,12.3918,97.0702,166.982,123.556
9,12.5556,96.0292,165.556,125.86
10,13.3626,98.2749,165.883,122.48
11,12.5614,99.5439,165.205,122.69
12,12.5497,98.8772,164.31,124.263
13,12.8655,94.7368,167.099,125.298
14,11.4269,99.5789,164.199,124.795
15,12.3158,99.6257,164.053,124.006
16,12.1579,96.5731,167.427,123.842
17,12.6901,98.5088,164.351,124.45
18,13.0702,97.0994,163.795,126.035
19,11.1754,96.9123,167.965,123.947
20,12.2749,97.8129,166.643,123.269
21,12.3041,97.193,167.158,123.345
22,13.3509,94.8889,166.48,125.281
23,13.1637,97.4561,165.637,123.743
24,12.6316,97.117,163.731,126.52
25,13.0117,98.0468,164.515,124.427
26,11.7895,95.7778,166.006,126.427
27,12.2339,96.9298,164.655,126.181
28,12.3977,96.0234,165.667,125.912
29,13.3275,94.7661,165.877,126.029
30,12.6199,97.4561,164.637,125.287
31,12.117,99.6374,166.287,121.959
32,12.1637,98.0058,165.298,124.532
33,11.6374,97.1579,165.304,125.901
34,13.3684,96.7719,165.801,124.058
35,12.6608,96.1228,166.795,124.421
36,11.3684,99.1111,164.327,125.193
37,12.6257,99.2339,164.45,123.69
38,12.7661,97.5789,166.111,123.544
39,12.4152,97.6316,164.17,125.784
40,11.4678,97.1871,166.673,124.673
41,12.8655,97.7602,165.351,124.023
42,12.6082,96.7836,164.813,125.795
43,11.9064,100.029,163.503,124.561
44,12.4971,96.5263,167.532,123.444
45,12.1404,96.1988,167.918,123.743
46,13.1111,98.1696,166.175,122.544
47,12.0117,97.6023,166.029,124.357
48,11.9591,98.0526,166.398,123.591
49,12.6784,97.2398,166.146,123.936
50,13.0643,97.6433,164.526,124.766
51,12,97.7251,164.854,125.421
52,12.2456,96.9591,166.719,124.076
53,11.9825,95.3333,165.86,126.825
54,11.9006,98.3275,166.491,123.281
55,12.1871,95.4971,168.123,124.193
56,11.8772,98.6667,165.795,123.661
