Week,PHX_Raw,DEN_Raw,CHI_Raw,ATL_Raw,PHX_Welch,DEN_Welch,CHI_Welch,ATL_Welch
1,72.9366,94.0219,130.086,102.955,72.9366,94.0219,130.086,102.955
2,54.1165,92.8218,145.791,107.271,56.055,93.3876,143.388,107.17
3,41.1118,93.319,154.286,111.283,45.2231,93.8961,150.179,110.702
4,32.0766,94.2147,159.111,114.598,38.0572,94.5673,153.967,113.409
5,25.8739,95.1029,161.619,117.404,33.1649,95.107,156.303,115.425
6,21.594,95.9175,163.01,119.478,29.7056,95.485,157.909,116.901
7,18.6909,96.5734,163.863,120.872,27.1719,95.7874,159.062,117.979
8,16.7007,96.8687,164.339,122.092,25.2597,96.0438,159.898,118.798
9,15.3834,97.1234,164.622,122.871,23.7753,96.2463,160.535,119.443
10,14.447,97.1271,165.032,123.394,22.5975,96.3791,161.058,119.966
11,13.8299,97.2442,165.236,123.69,21.6361,96.4943,161.486,120.384
12,13.3889,97.396,165.434,123.781,20.8367,96.598,161.848,120.718
13,13.085,97.5051,165.374,124.036,20.1636,96.6964,162.145,120.995
14,12.8836,97.6545,165.375,124.087,19.5945,96.783,162.389,121.234
15,12.7765,97.7669,165.292,124.164,19.103,96.8562,162.591,121.449
16,12.6756,97.8123,165.282,124.23,18.6766,96.92,162.772,121.631
17,12.6099,97.7173,165.343,124.33,16.727,97.039,163.914,122.32
18,12.6216,97.547,165.492,124.34,15.3837,97.1966,164.552,122.867
19,12.5503,97.4698,165.511,124.469,14.4594,97.3358,164.918,123.286
20,12.5177,97.5932,165.555,124.334,13.8261,97.4462,165.128,123.599
21,12.4867,97.5835,165.552,124.378,13.3924,97.5293,165.256,123.823
22,12.4624,97.6716,165.651,124.215,13.0966,97.5841,165.339,123.98
23,12.425,97.7017,165.637,124.236,12.8954,97.6187,165.395,124.091
24,12.4182,97.8535,165.54,124.189,12.757,97.644,165.436,124.163
25,12.4285,97.804,165.583,124.185,12.6611,97.6636,165.468,124.208
26,12.4772,97.8449,165.465,124.212,12.5952,97.6838,165.481,124.24
27,12.483,97.8846,165.413,124.219,12.551,97.6982,165.491,124.26
28,12.4832,97.7743,165.401,124.341,12.5211,97.7064,165.496,124.276
29,12.4524,97.9161,165.253,124.379,12.5011,97.7096,165.501,124.288
30,12.4757,97.8784,165.305,124.341,12.487,97.7086,165.505,124.3
31,12.5121,97.8106,165.477,124.2,12.4764,97.703,165.511,124.309
32,12.4987,97.7109,165.49,124.3,12.4698,97.7017,165.518,124.311
33,12.4757,97.709,165.573,124.242,12.465,97.6976,165.526,124.312
34,12.457,97.6319,165.641,124.27,12.4606,97.7029,165.525,124.311
35,12.4459,97.6366,165.62,124.298,12.4581,97.7072,165.529,124.305
36,12.4279,97.6792,165.566,124.327,12.4567,97.708,165.526,124.309
37,12.4234,97.6185,165.602,124.356,12.456,97.7094,165.525,124.309
38,12.454,97.6461,165.586,124.314,12.4558,97.7103,165.521,124.313
39,12.4108,97.6513,165.627,124.311,12.4552,97.7115,165.518,124.315
40,12.4111,97.7321,165.588,124.269,12.4557,97.7068,165.518,124.319
41,12.4036,97.7526,165.456,124.388,12.4553,97.701,165.518,124.326
42,12.4597,97.6906,165.533,124.317,12.4523,97.6971,165.515,124.336
43,12.4623,97.6501,165.606,124.282,12.4501,97.6916,165.52,124.338
44,12.4651,97.6049,165.521,124.409,12.4494,97.6875,165.529,124.334
45,12.4444,97.6243,165.486,124.445,12.4494,97.6766,165.541,124.333
46,12.4502,97.5906,165.499,124.46,12.4494,97.6679,165.55,124.333
47,12.4707,97.7747,165.481,124.273,12.4489,97.6651,165.548,124.338
48,12.4605,97.5896,165.585,124.365,12.4493,97.6637,165.549,124.338
49,12.4843,97.7099,165.487,124.319,12.4501,97.6641,165.549,124.337
50,12.4722,97.6042,165.633,124.291,12.4504,97.6706,165.54,124.339
51,12.4745,97.619,165.462,124.445,12.4506,97.6757,165.535,124.339
52,12.4652,97.6261,165.515,124.393,12.4492,97.6766,165.534,124.34
53,12.4579,97.6988,165.509,124.335,12.4463,97.6802,165.537,124.337
54,12.4054,97.7401,165.57,124.285,12.4436,97.686,165.532,124.338
55,12.4354,97.7074,165.529,124.328,12.4424,97.6928,165.522,124.343
56,12.4144,97.6251,165.571,124.39,12.4413,97.6954,165.509,124.355
57,12.384,97.7219,165.38,124.514,12.4408,97.6946,165.51,124.355
58,12.4162,97.7157,165.57,124.298,12.4382,97.6971,165.511,124.353
59,12.4619,97.6469,165.676,124.216,12.4365,97.6976,165.511,124.354
60,12.4504,97.5789,165.642,124.329,12.4364,97.7004,165.513,124.35
61,12.4758,97.6058,165.562,124.356,12.4386,97.7026,165.516,124.343
62,12.4967,97.7268,165.422,124.355,12.4391,97.7083,165.521,124.331
63,12.5129,97.6647,165.515,124.308,12.4398,97.7059,165.522,124.332
64,12.5001,97.7215,165.58,124.198,12.4402,97.7083,165.515,124.337
65,12.4664,97.8332,165.361,124.34,12.4404,97.7054,165.514,124.34
66,12.45,97.7952,165.454,124.301,12.4395,97.7053,165.512,124.343
67,12.3843,97.7073,165.557,124.352,12.4392,97.7061,165.516,124.339
68,12.334,97.7315,165.68,124.255,12.4399,97.7052,165.519,124.336
69,12.3711,97.8252,165.436,124.367,12.4414,97.7029,165.517,124.338
70,12.3741,97.8613,165.319,124.445,12.444,97.6994,165.516,124.34
71,12.3759,97.812,165.173,124.639,12.4442,97.7015,165.512,124.342
72,12.389,97.7281,165.493,124.389,12.4445,97.7065,165.509,124.34
73,12.3783,97.7682,165.584,124.27,12.4453,97.7049,165.511,124.339
74,12.4108,97.667,165.607,124.316,12.4458,97.7038,165.504,124.347
75,12.4627,97.6904,165.566,124.281,12.4433,97.7028,165.499,124.355
76,12.5121,97.6927,165.571,124.224,12.4412,97.7055,165.497,124.356
77,12.4641,97.7696,165.678,124.089,12.4395,97.7086,165.499,124.353
78,12.4919,97.6978,165.496,124.314,12.4361,97.7062,165.506,124.351
79,12.475,97.6655,165.363,124.497,12.4329,97.708,165.508,124.351
80,12.4892,97.621,165.459,124.431,12.4286,97.7049,165.509,124.358
81,12.4442,97.6004,165.57,124.386,12.4257,97.6976,165.52,124.357
82,12.4656,97.6424,165.58,124.312,12.4241,97.6931,165.522,124.36
83,12.4862,97.5989,165.618,124.297,12.4255,97.6908,165.525,124.359
84,12.5043,97.6278,165.457,124.411,12.4284,97.6891,165.52,124.363
85,12.488,97.6315,165.54,124.341,12.4287,97.6833,165.521,124.367
86,12.4421,97.7731,165.407,124.378,12.4286,97.6741,165.53,124.368
87,12.4234,97.7799,165.475,124.322,12.4297,97.6644,165.544,124.362
88,12.4067,97.6723,165.424,124.497,12.431,97.6611,165.547,124.361
89,12.4317,97.6804,165.359,124.529,12.4313,97.6587,165.549,124.361
90,12.3839,97.6153,165.528,124.473,12.4322,97.6644,165.543,124.36
91,12.3855,97.6628,165.581,124.371,12.4313,97.6671,165.536,124.365
92,12.4248,97.7014,165.633,124.241,12.428,97.6683,165.533,124.37
93,12.39,97.6537,165.642,124.315,12.4272,97.6651,165.527,124.381
94,12.414,97.7198,165.561,124.305,12.4266,97.6621,165.529,124.382
95,12.3669,97.6268,165.6,124.407,12.4256,97.6615,165.537,124.376
96,12.3754,97.6055,165.709,124.31,12.4243,97.6631,165.543,124.369
97,12.4034,97.6568,165.535,124.405,12.4244,97.6643,165.545,124.366
98,12.4264,97.6347,165.628,124.311,12.4224,97.667,165.545,124.365
99,12.4236,97.681,165.517,124.379,12.4203,97.6704,165.543,124.366
100,12.3813,97.6457,165.483,124.49,12.4168,97.6754,165.545,124.362
101,12.3713,97.5748,165.589,124.465,12.4155,97.6791,165.544,124.362
102,12.4076,97.5116,165.621,124.46,12.4153,97.6763,165.546,124.362
103,12.4318,97.6243,165.581,124.363,12.4151,97.6739,165.549,124.362
104,12.3877,97.6949,165.657,124.261,12.4162,97.6768,165.546,124.362
105,12.4364,97.8447,165.417,124.302,12.4161,97.6731,165.553,124.358
106,12.4367,97.7736,165.354,124.436,12.4174,97.6782,165.55,124.354
107,12.4102,97.7282,165.474,124.388,12.4181,97.6807,165.55,124.352
108,12.4381,97.6723,165.475,124.415,12.4185,97.6817,165.549,124.351
109,12.4736,97.6035,165.579,124.344,12.4194,97.6853,165.547,124.349
110,12.4449,97.6464,165.603,124.306,12.4208,97.6862,165.552,124.341
111,12.4489,97.671,165.644,124.236,12.4242,97.6942,165.549,124.333
112,12.4457,97.6381,165.625,124.291,12.4286,97.699,165.545,124.328
113,12.4037,97.7253,165.587,124.284,12.4299,97.702,165.548,124.32
114,12.4209,97.7049,165.555,124.319,12.4305,97.7055,165.544,124.32
115,12.3947,97.7845,165.528,124.293,12.4311,97.7067,165.547,124.315
116,12.4483,97.7454,165.49,124.316,12.4334,97.7107,165.549,124.307
117,12.4361,97.6869,165.49,124.387,12.4362,97.7109,165.553,124.3
118,12.4194,97.7031,165.544,124.333,12.4376,97.7129,165.552,124.297
119,12.438,97.7621,165.325,124.475,12.4376,97.709,165.554,124.3
120,12.4291,97.5671,165.58,124.424,12.4381,97.7025,165.551,124.309
121,12.4259,97.7724,165.457,124.345,12.4391,97.6939,165.555,124.312
122,12.4073,97.7399,165.553,124.3,12.4406,97.6907,165.562,124.307
123,12.437,97.7348,165.625,124.204,12.4427,97.6931,165.567,124.297
124,12.4181,97.7654,165.562,124.254,12.4435,97.6988,165.57,124.288
125,12.4579,97.7478,165.729,124.065,12.4417,97.7029,165.574,124.281
126,12.471,97.8729,165.491,124.165,12.4415,97.7062,165.578,124.274
127,12.5127,97.7539,165.583,124.15,12.4416,97.7107,165.571,124.276
128,12.4414,97.75,165.654,124.155,12.4414,97.7139,165.568,124.277
129,12.4455,97.7433,165.48,124.331,12.4425,97.7131,165.564,124.28
130,12.443,97.72,165.626,124.211,12.4438,97.7116,165.564,124.281
131,12.4511,97.7693,165.547,124.233,12.4468,97.7102,165.563,124.28
132,12.4608,97.5807,165.693,124.266,12.4472,97.7054,165.567,124.28
133,12.4509,97.5719,165.609,124.368,12.4499,97.7037,165.57,124.277
134,12.4295,97.5046,165.625,124.441,12.4528,97.7001,165.57,124.277
135,12.4032,97.495,165.571,124.53,12.4545,97.6935,165.582,124.27
136,12.4697,97.5758,165.543,124.412,12.4546,97.6986,165.583,124.264
137,12.4808,97.6757,165.57,124.274,12.4545,97.699,165.585,124.261
138,12.4752,97.8029,165.644,124.078,12.454,97.7026,165.583,124.261
139,12.4641,97.8491,165.559,124.128,12.4531,97.7008,165.586,124.26
140,12.4174,97.7282,165.716,124.139,12.4526,97.6973,165.587,124.263
141,12.438,97.7491,165.715,124.098,12.4518,97.6925,165.587,124.269
142,12.454,97.8121,165.44,124.293,12.4514,97.6869,165.593,124.269
143,12.4387,97.7361,165.523,124.302,12.4486,97.6848,165.59,124.276
144,12.439,97.7001,165.472,124.389,12.4486,97.6858,165.586,124.28
145,12.4597,97.659,165.536,124.346,12.4479,97.6879,165.587,124.277
146,12.4873,97.7431,165.488,124.282,12.4483,97.6897,165.585,124.277
147,12.4627,97.5966,165.631,124.309,12.4477,97.6887,165.587,124.276
148,12.518,97.6339,165.575,124.273,12.4467,97.6941,165.584,124.275
149,12.509,97.5906,165.541,124.36,12.4464,97.6997,165.581,124.273
150,12.4917,97.5579,165.713,124.238,12.4488,97.7085,165.576,124.267
151,12.4323,97.7231,165.611,124.234,12.4513,97.7153,165.579,124.254
152,12.4234,97.7869,165.517,124.273,12.4511,97.7194,165.584,124.245
153,12.3897,97.852,165.477,124.281,12.4483,97.7162,165.593,124.242
154,12.4107,97.677,165.717,124.195,12.4452,97.7102,165.594,124.251
155,12.4031,97.6584,165.618,124.32,12.4435,97.7064,165.594,124.256
156,12.431,97.5983,165.707,124.264,12.4426,97.7065,165.591,124.26
157,12.4592,97.698,165.691,124.152,12.4407,97.7073,165.584,124.268
158,12.4252,97.6915,165.498,124.385,12.4396,97.7048,165.586,124.27
159,12.4412,97.7784,165.503,124.277,12.4371,97.7045,165.588,124.271
160,12.4248,97.8091,165.538,124.228,12.4361,97.7042,165.591,124.269
161,12.4559,97.7749,165.555,124.214,12.433,97.7054,165.592,124.27
162,12.4313,97.7396,165.617,124.212,12.43,97.6996,165.596,124.274
163,12.4318,97.7478,165.6,124.22,12.4275,97.7018,165.591,124.28
164,12.441,97.7466,165.51,124.302,12.4237,97.7036,165.587,124.286
165,12.5051,97.7768,165.465,124.253,12.4211,97.7101,165.584,124.285
166,12.4803,97.7057,165.672,124.142,12.4195,97.7156,165.578,124.287
167,12.4623,97.7015,165.696,124.14,12.42,97.7132,165.575,124.292
168,12.3937,97.5788,165.839,124.188,12.4208,97.7095,165.575,124.294
169,12.3806,97.6149,165.677,124.328,12.4235,97.7018,165.58,124.295
170,12.4116,97.7329,165.558,124.298,12.4247,97.7012,165.576,124.299
171,12.3875,97.7294,165.607,124.276,12.4257,97.6991,165.574,124.301
172,12.3808,97.776,165.522,124.322,12.4274,97.6979,165.575,124.3
173,12.4175,97.7329,165.481,124.369,12.4263,97.6996,165.571,124.303
174,12.3621,97.7287,165.584,124.325,12.4282,97.7013,165.573,124.297
175,12.4091,97.6911,165.568,124.332,12.4296,97.6999,165.579,124.291
176,12.3638,97.6937,165.577,124.365,12.4313,97.6953,165.581,124.292
177,12.3939,97.5654,165.615,124.426,12.4305,97.6938,165.579,124.297
178,12.3859,97.6655,165.468,124.481,12.4304,97.6926,165.577,124.3
179,12.3977,97.689,165.46,124.453,12.4312,97.6935,165.576,124.299
180,12.4297,97.7909,165.446,124.333,12.4315,97.6961,165.578,124.294
181,12.4431,97.7274,165.516,124.314,12.4291,97.6978,165.579,124.294
182,12.4463,97.6495,165.533,124.371,12.4276,97.703,165.57,124.299
183,12.4478,97.6736,165.522,124.357,12.4272,97.7053,165.565,124.303
184,12.4749,97.6112,165.616,124.298,12.428,97.7094,165.56,124.302
185,12.4471,97.6584,165.584,124.31,12.428,97.7098,165.557,124.305
