n_urgent,strategy,rule,mean_diff_objective,ci_low,ci_high,t_stat,p_value,significant,better_than_baseline,p_bonferroni,significant_bonferroni
10,1,1,-0.01673777423303847,-0.023850300738660724,-0.009625247727416218,-4.694667350470406,1.3131487271086898e-05,True,True,0.0009323355962471698,True
10,1,2,-0.020193706468425377,-0.027321213355023095,-0.01306619958182766,-5.652094452403482,3.2931853127469226e-07,True,True,2.338161572050315e-05,True
10,1,3,-0.018268742942943245,-0.025384899438526842,-0.011152586447359647,-5.121464795836877,2.6228568791523853e-06,True,True,0.00018622283841981935,True
10,1,4,-0.0182083343204362,-0.02532919431802214,-0.011087474322850264,-5.101158158088836,2.8353924993882507e-06,True,True,0.0002013128674565658,True
10,2,1,-0.06605086271702174,-0.07319325575369709,-0.058908469680346374,-18.448699905562098,2.201161616778715e-28,True,True,1.5628247479128877e-26,True
10,2,2,-0.06942460963669217,-0.07657490922960596,-0.062274310043778376,-19.36958093722194,1.3060786583519153e-29,True,True,9.273158474298599e-28,True
10,2,3,-0.06789306197577398,-0.07504341377460076,-0.0607427101769472,-18.942138305472625,4.789526199912879e-29,True,True,3.400563601938144e-27,True
10,2,4,-0.06752006757744075,-0.07466765221769214,-0.06037248293718935,-18.8453660951133,6.44561263434283e-29,True,True,4.576384970383409e-27,True
10,3,1,-0.07776400168855947,-0.08498239229884733,-0.07054561107827162,-21.491624242096382,2.740975610225843e-32,True,True,1.9460926832603483e-30,True
10,3,2,-0.08121821573112142,-0.08844263818523179,-0.07399379327701106,-22.427523878231366,2.0811984744898064e-33,True,True,1.4776509168877626e-31,True
10,3,3,-0.07953995706260551,-0.08676505279218558,-0.07231486133302545,-21.962044324234036,7.42436976658018e-33,True,True,5.2713025342719275e-31,True
10,3,4,-0.07923085347288449,-0.08645447600480509,-0.07200723094096388,-21.88115826544155,9.279854389960042e-33,True,True,6.58869661687163e-31,True
11,1,1,-0.023596013957893215,-0.02983799902394026,-0.01735402889184617,-7.541312477044408,1.3776303192291844e-10,True,True,9.78117526652721e-09,True
11,1,2,-0.027070286959939523,-0.033329224813492306,-0.02081134910638674,-8.628260276735976,1.4200868968435378e-12,True,True,1.0082616967589119e-10,True
11,1,3,-0.025131127608286546,-0.03138060351866479,-0.0188816516979083,-8.022309153215334,1.8197652897526124e-11,True,True,1.2920333557243547e-09,True
11,1,4,-0.025077535348991098,-0.0313268753100749,-0.018828195387907296,-8.005375684183967,1.954289977420811e-11,True,True,1.3875458839687759e-09,True
11,2,1,-0.07121994437452715,-0.07748971619094157,-0.06495017255811274,-22.661096074052775,1.1077309482380156e-33,True,True,7.86488973248991e-32,True
11,2,2,-0.07449475336321451,-0.08077777473767982,-0.0682117319887492,-23.65310537943801,8.034072343967225e-35,True,True,5.70419136421673e-33,True
11,2,3,-0.0729863008365492,-0.07926228873396106,-0.06671031293913733,-23.200122211764707,2.633747443947563e-34,True,True,1.8699606852027698e-32,True
11,2,4,-0.07260309781157295,-0.07888073696746821,-0.0663254586556777,-23.072243164177877,3.694519997548566e-34,True,True,2.623109198259482e-32,True
11,3,1,-0.08723633970021538,-0.09365710962302387,-0.08081556977740689,-27.104496502431832,1.6416358847644295e-38,True,True,1.165561478182745e-36,True
11,3,2,-0.09066691470506344,-0.09710183819027564,-0.08423199121985124,-28.108422144948133,1.639326787862841e-39,True,True,1.1639220193826173e-37,True
11,3,3,-0.08902782137864114,-0.0954581055536161,-0.08259753720366618,-27.620185864802437,4.98297776159654e-39,True,True,3.5379142107335435e-37,True
11,3,4,-0.08870749933188415,-0.09513838878773115,-0.08227660987603716,-27.518218170718484,6.29836746206503e-39,True,True,4.471840898066171e-37,True
12,1,1,-0.016297205214350807,-0.02132534285479737,-0.011269067573904246,-6.466019259278559,1.2173419609599134e-08,True,True,8.643127922815385e-07,True
12,1,2,-0.019791480889368832,-0.02483233847583249,-0.014750623302905174,-7.83258074270008,4.0457473228083916e-11,True,True,2.872480599193958e-09,True
12,1,3,-0.01788518049721152,-0.02292073271833513,-0.012849628276087908,-7.085609932035624,9.304525059436924e-10,True,True,6.606212792200216e-08,True
12,1,4,-0.017799703794056085,-0.02283443867005524,-0.01276496891805693,-7.05289123435167,1.0667076760592085e-09,True,True,7.57362450002038e-08,True
12,2,1,-0.07457760648831419,-0.07965597832959376,-0.06949923464703461,-29.296447519693054,1.1714686895866626e-40,True,True,8.317427696065304e-39,True
12,2,2,-0.07776867733825694,-0.08285830048275163,-0.07267905419376226,-30.482466361527248,9.196444065536788e-42,True,True,6.5294752865311194e-40,True
12,2,3,-0.07628967820158085,-0.08137348461844582,-0.07120587178471588,-29.936966766351357,2.932467978916121e-41,True,True,2.082052265030446e-39,True
12,2,4,-0.07587990002715261,-0.08096458212886616,-0.07079521792543907,-29.771036936006205,4.187820253205511e-41,True,True,2.9733523797759126e-39,True
12,3,1,-0.09448989126980252,-0.0996822489849146,-0.08929753355469044,-36.30377291110904,1.0733678838710254e-46,True,True,7.620911975484281e-45,True
12,3,2,-0.09788867885851785,-0.10309434354217804,-0.09268301417485765,-37.51347482919289,1.245099432744744e-47,True,True,8.840205972487683e-46,True
12,3,3,-0.09627796320616205,-0.10148134589542103,-0.09107458051690308,-36.91238810293026,3.6024393452584795e-47,True,True,2.5577319351335205e-45,True
12,3,4,-0.09596495398454591,-0.10116623905150732,-0.0907636689175845,-36.80722023457353,4.34532248794234e-47,True,True,3.085178966439061e-45,True
13,1,1,-0.01712153549429446,-0.020530625515647168,-0.013712445472941752,-10.019251037667066,4.310303910821754e-15,True,True,3.060315776683445e-13,True
13,1,2,-0.020616516841466398,-0.024042408841490327,-0.01719062484144247,-12.005289643712425,1.463101063514943e-18,True,True,1.0388017550956096e-16,True
13,1,3,-0.01874832592869553,-0.022164426434927376,-0.015332225422463682,-10.948707973947663,9.739761013618004e-17,True,True,6.915230319668783e-15,True
13,1,4,-0.018628561744084282,-0.02204881115493699,-0.015208312333231576,-10.865571301169492,1.362305805777111e-16,True,True,9.672371221017489e-15,True
13,2,1,-0.07458037955225504,-0.07826911235553638,-0.07089164674897369,-40.33466075731396,1.0371029695321536e-49,True,True,7.36343108367829e-48,True
13,2,2,-0.07767700436927502,-0.08137881893675715,-0.07397518980179289,-41.86092547340926,8.829072880951424e-51,True,True,6.2686417454755114e-49,True
13,2,3,-0.07622192107725025,-0.07991889304198202,-0.07252494911251847,-41.130572109912805,2.840000661156989e-50,True,True,2.016400469421462e-48,True
13,2,4,-0.07579213019017013,-0.0794855684705808,-0.07209869190975945,-40.93777969054852,3.878342546315824e-50,True,True,2.753623207884235e-48,True
13,3,1,-0.09801384258591465,-0.10176093842029524,-0.09426674675153407,-52.18234988541082,3.486948897299483e-57,True,True,2.475733717082633e-55,True
13,3,2,-0.10139724050644443,-0.10515323098941558,-0.09764125002347328,-53.8558233760069,4.157904026846542e-58,True,True,2.952111859061045e-56,True
13,3,3,-0.09982632525938304,-0.10357729832729787,-0.0960753521914682,-53.09237530567412,1.0883547707544524e-57,True,True,7.727318872356612e-56,True
13,3,4,-0.09949367447656061,-0.10324919768371908,-0.09573815126940215,-52.85134421506213,1.478755045408295e-57,True,True,1.0499160822398895e-55,True
14,1,2,-0.003525008689805793,-0.0035695517315637304,-0.0034804656480478553,-157.8742637774192,4.976395336618079e-90,True,True,3.533240688998836e-88,True
14,1,3,-0.001659552229653067,-0.001689483166831615,-0.0016296212924745191,-110.61184258708214,2.0694213636277705e-79,True,True,1.469289168175717e-77,True
14,1,4,-0.0015303922977432827,-0.001551977440485627,-0.0015088071550009383,-141.4421546404283,9.559448921722169e-87,True,True,6.78720873442274e-85,True
14,2,1,-0.06738995290893382,-0.06939152933814376,-0.06538837647972388,-67.16669701842774,1.3285704623535054e-64,True,True,9.432850282709888e-63,True
14,2,2,-0.07039476894744845,-0.07239614127158445,-0.06839339662331245,-70.16871366994238,6.788176606094892e-66,True,True,4.819605390327373e-64,True
14,2,3,-0.06897615200383284,-0.07097684930089357,-0.0669754547067721,-68.7778497996387,2.6507232654977618e-65,True,True,1.8820135185034108e-63,True
14,2,4,-0.06851256722507779,-0.07051284677815292,-0.06651228767200265,-68.32986501950286,4.134232734050309e-65,True,True,2.9353052411757197e-63,True
14,3,1,-0.0947773370068381,-0.09667255695651876,-0.09288211705715745,-99.76447005516368,2.453817480266745e-76,True,True,1.742210410989389e-74,True
