strategy,n_urgent,rule,mean_objective,ci_lo_objective,ci_hi_objective,mean_el_app_wt,ci_lo_el_app,ci_hi_el_app,mean_ur_scan_wt,ci_lo_ur_scan,ci_hi_ur_scan,mean_el_scan_wt,mean_ot
1,10,1,0.4642919384,0.4616127098,0.466971167,14.45240072,14.07713074,14.82767069,3.404391693,3.390061991,3.418721395,0.08888144136,0.9994399024
1,10,2,0.4610681008,0.4584239113,0.4637122904,15.08280161,14.70749553,15.45810768,3.341605679,3.327205537,3.35600582,0.2314392666,0.9634997446
1,10,3,0.4655174603,0.4628348148,0.4682001058,14.91080902,14.53405885,15.28755919,3.390863802,3.376525846,3.405201758,0.1845124697,0.9915447251
1,10,4,0.4625914761,0.4599199536,0.4652629987,14.51222666,14.13627168,14.88818164,3.385882571,3.371563919,3.400201223,0.09429612425,0.9888161252
1,11,1,0.4584305822,0.4552525086,0.4616086558,15.79466789,15.30348559,16.2858502,3.279732317,3.265152023,3.294312611,0.08917393701,0.9886234685
1,11,2,0.4554379352,0.4522715682,0.4586043023,16.4353269,15.94202789,16.9286259,3.218477476,3.203666057,3.233288896,0.2337057602,0.9531181117
1,11,3,0.4597854822,0.4565904445,0.4629805199,16.27711636,15.78512369,16.76910902,3.266080964,3.251242727,3.280919201,0.1860627231,0.9810146964
1,11,4,0.4567357762,0.4535532411,0.4599183113,15.85394544,15.36235311,16.34553776,3.26130348,3.246617431,3.27598953,0.09468585224,0.9780083341
1,12,1,0.4551028235,0.4510435004,0.4591621465,17.67061465,16.99416347,18.34706583,3.149285341,3.134777204,3.163793477,0.08949791335,0.9774622177
1,12,2,0.4522643734,0.4482086405,0.4563201062,18.3094542,17.63063776,18.98827064,3.089515742,3.074873842,3.104157642,0.235893012,0.9420570481
1,12,3,0.4566147567,0.4525531045,0.460676409,18.17939406,17.50384125,18.85494687,3.1356367,3.121047193,3.150226207,0.1876260317,0.9696608997
1,12,4,0.45346728,0.4494094517,0.4575251082,17.73199136,17.05495247,18.40903024,3.131277411,3.116749926,3.145804897,0.09510543675,0.9668301934
1,13,1,0.4565483455,0.450892505,0.462204186,20.29903266,19.33326493,21.26480039,3.021486931,3.007861464,3.035112399,0.08985115604,0.9662365479
1,13,2,0.453766331,0.4481294505,0.4594032116,20.95338503,19.98514857,21.92162149,2.96139421,2.947673209,2.97511521,0.2376263565,0.9305748775
1,13,3,0.4581828381,0.4525584612,0.463807215,20.84290889,19.87985532,21.80596245,3.007061138,2.993486724,3.020635552,0.1891114108,0.9583971221
1,13,4,0.4549314816,0.4492744338,0.4605885294,20.36547015,19.3985879,21.3323524,3.003376005,2.989740328,3.017011682,0.09559884294,0.955629895
1,14,1,0.4648892379,0.4563205643,0.4734579115,24.1689718,22.71770835,25.62023524,2.889236795,2.876297005,2.902176584,0.08953850046,0.9546206356
1,14,2,0.4623827169,0.4538196674,0.4709457664,24.83854552,23.38583622,26.29125482,2.830808085,2.817646895,2.843969274,0.2390149407,0.918904699
1,14,3,0.4666373639,0.4581143188,0.475160409,24.72236685,23.27885859,26.16587511,2.875323765,2.862281626,2.888365905,0.1900129545,0.9466816968
1,14,4,0.463397096,0.4548271821,0.4719670099,24.23626718,22.78440381,25.68813055,2.872202408,2.859262787,2.885142028,0.09543411617,0.9439397721
1,15,1,0.4828100183,0.4698027454,0.4958172913,29.88271289,27.6801326,32.08529318,2.744430546,2.731924461,2.756936631,0.08988135609,0.7794252912
1,15,2,0.4801457159,0.4672291496,0.4930622823,30.5405567,28.35327196,32.72784144,2.685210192,2.672812712,2.697607672,0.2410058023,0.7450202917
