strategy,n_urgent,rule,rep,objective,el_app_wt,ur_scan_wt,el_scan_wt,ot
1,10,1,0,0.4712239576,14.1489003,3.483038817,0.09046313417,0.9147739288
1,10,1,1,0.4674469834,13.01611231,3.50973112,0.08561004032,1.153549378
1,10,1,2,0.4875794206,17.54294105,3.448414372,0.09240056842,0.9592263544
1,10,1,3,0.4613918889,14.52181544,3.374572602,0.09044583519,0.9057862075
1,10,1,4,0.4544502593,12.23981862,3.434347765,0.08972479219,1.034290614
1,10,1,5,0.4581344563,13.58306452,3.395545936,0.08740018078,1.00745846
1,10,1,6,0.4754693342,16.61185515,3.389303196,0.09312955158,1.011709361
1,10,1,7,0.4592066867,14.09534824,3.377752238,0.09008289021,0.9701818292
1,10,1,8,0.4574062413,14.96495889,3.314961946,0.08477149762,1.058755067
1,10,1,9,0.4662829039,16.28890052,3.323926464,0.09000239615,0.9349507546
1,10,1,10,0.4617594959,12.13005331,3.506011179,0.08142959974,1.030874937
1,10,1,11,0.4766780593,14.31390072,3.523286423,0.09316788458,1.022644656
1,10,1,12,0.4634377612,15.68180619,3.330843091,0.08412307927,0.9317421346
1,10,1,13,0.431428445,10.46697368,3.322125272,0.0898194372,0.9955329324
1,10,1,14,0.4687009695,15.31279639,3.397980347,0.09180717683,0.9919585587
1,10,1,15,0.4665944058,13.11545537,3.496735971,0.0884424874,1.035621434
1,10,1,16,0.4517551118,11.77938291,3.434757636,0.08838495245,1.095446668
1,10,1,17,0.4589553753,13.6378631,3.399998569,0.08499350218,0.9879539398
1,10,1,18,0.4690544788,13.86335366,3.478810649,0.08652931208,0.9840222242
1,10,1,19,0.4518477044,13.5233078,3.342166422,0.08985727696,1.100297778
1,10,1,20,0.4428552255,12.12955978,3.335899185,0.08836575897,1.023004078
1,10,1,21,0.4719605814,15.89403689,3.396178971,0.09577336922,0.995203563
1,10,1,22,0.4664942206,15.36444239,3.375352858,0.08645139047,1.078231574
1,10,1,23,0.471862332,14.96395629,3.445120473,0.08838289971,0.9458301168
1,10,1,24,0.4503036837,11.59801224,3.431411069,0.08828864524,1.07678139
1,10,1,25,0.4506285219,11.10503045,3.460744352,0.08746348022,1.026475372
1,10,1,26,0.4830000701,17.29869238,3.420284968,0.09225449002,0.9663045848
1,10,1,27,0.4731222114,13.07100729,3.557867369,0.0854973271,0.9945372928
1,10,1,28,0.4618646923,12.88594049,3.466463991,0.08353520897,1.03213093
1,10,1,29,0.4297914336,11.21903305,3.267103274,0.08396773752,1.007094589
1,10,1,30,0.4568237437,14.29920383,3.345384916,0.09015084735,0.9461142729
1,10,1,31,0.482088205,17.32427881,3.41070748,0.0877390201,1.045976886
1,10,1,32,0.4716844968,14.44557866,3.471290186,0.08716136125,0.8864603811
