strategy,n_urgent,rule,W,AWT_e,SWT_u,OT
3,13,4,0.4172812321,19.72895662,2.698622698,1.391561836
3,13,2,0.417417276,20.29532072,2.66950616,1.356775481
3,12,4,0.418204455,17.0826741,2.84869684,1.420978901
3,12,2,0.4182638036,17.65171588,2.818746597,1.386340024
3,13,1,0.4183006459,19.65586253,2.711713177,1.404695754
3,12,1,0.4192856648,17.02110615,2.861726011,1.433885874
3,14,4,0.423240033,23.55687951,2.547184609,1.362636424
3,11,2,0.4235676337,15.77347419,2.967101157,1.41601825
3,11,4,0.4236138093,15.20757414,2.997832812,1.449555155
3,14,2,0.4236477835,24.15081339,2.519036477,1.327062789
3,14,1,0.4242433656,23.48517871,2.560055716,1.375869251
3,11,1,0.4247126968,15.14697953,3.010968939,1.462327136
2,12,4,0.4256255951,17.25551434,2.906227802,1.282857658
2,12,2,0.4260361419,17.80882079,2.880281306,1.250329895
2,12,1,0.4265923557,17.18873613,2.918506052,1.296066975
2,13,4,0.4274591195,19.90654632,2.780709951,1.263104685
2,13,2,0.4278906933,20.47017816,2.754399552,1.229209641
2,11,4,0.4282764539,15.37882974,3.030622207,1.302085346
2,13,1,0.4283569308,19.83344597,2.792706343,1.276538127
2,11,2,0.4286955462,15.933922,3.004656952,1.271244306
2,11,1,0.4292977573,15.31279833,3.043351334,1.31511901
3,15,4,0.4319057182,29.17833976,2.324026119,1.123496123
3,10,2,0.4319144486,14.40843025,3.115349846,1.445271916
3,15,2,0.4320745868,29.76317811,2.29421531,1.087833545
3,10,4,0.4320789566,13.84569619,3.146976884,1.478325887
3,15,1,0.432896314,29.08865744,2.337745892,1.137315118
3,10,1,0.4331812932,13.7855365,3.160120754,1.490894429
2,10,4,0.4339204369,14.02745663,3.153813041,1.321139196
2,10,2,0.4343572585,14.58315755,3.127974744,1.291624808
2,10,1,0.4350027513,13.96301545,3.167006077,1.333881943
2,14,4,0.4365410348,23.7478223,2.656664547,1.2433185
2,14,2,0.437043507,24.31793525,2.630645032,1.208108438
2,14,1,0.4373822917,23.67095479,2.668353762,1.257149511
1,12,2,0.4522643734,18.3094542,3.089515742,0.9420570481
2,15,4,0.4529728156,29.3236566,2.505845166,1.097748122
2,15,2,0.4533801634,29.90845683,2.478182712,1.061677081
1,12,4,0.45346728,17.73199136,3.131277411,0.9668301934
1,13,2,0.453766331,20.95338503,2.96139421,0.9305748775
2,15,1,0.4537948564,29.23244814,2.5181297,1.112213199
1,13,4,0.4549314816,20.36547015,3.003376005,0.955629895
1,12,1,0.4551028235,17.67061465,3.149285341,0.9774622177
1,11,2,0.4554379352,16.4353269,3.218477476,0.9531181117
1,13,1,0.4565483455,20.29903266,3.021486931,0.9662365479
1,11,4,0.4567357762,15.85394544,3.26130348,0.9780083341
1,11,1,0.4584305822,15.79466789,3.279732317,0.9886234685
3,16,2,0.4598179976,38.49681091,2.076032823,0.8523195989
3,16,4,0.4599156872,37.91455636,2.108104237,0.8886945017
3,16,1,0.4608496228,37.80192753,2.122543344,0.9032499273
1,10,2,0.4610681008,15.08280161,3.341605679,0.9634997446
1,14,2,0.4623827169,24.83854552,2.830808085,0.918904699
1,10,4,0.4625914761,14.51222666,3.385882571,0.9888161252
1,14,4,0.463397096,24.23626718,2.872202408,0.9439397721
1,10,1,0.4642919384,14.45240072,3.404391693,0.9994399024
1,14,1,0.4648892379,24.1689718,2.889236795,0.9546206356
1,15,2,0.4801457159,30.5405567,2.685210192,0.7450202917
1,15,4,0.4813475572,29.96674393,2.726766733,0.7691311092
1,15,1,0.4828100183,29.88271289,2.744430546,0.7794252912
1,16,2,0.5159353174,39.25736534,2.540344713,0.5654903065
1,16,4,0.5174128121,38.68924952,2.584076941,0.5894982379
1,16,1,0.5188247378,38.59005599,2.602098212,0.5996967049
3,17,4,0.5408252514,52.2933778,2.065996309,0.8602147749
3,17,2,0.5411039151,52.92685955,2.03456776,0.8264625727
1,17,2,0.5987354677,53.69407983,2.512150647,0.5425883257
1,17,4,0.5999391087,53.08701194,2.55550491,0.5643772077
3,18,4,0.6775739997,76.04981035,2.024069014,0.8319999267
3,18,2,0.6779424814,76.69074678,1.993049469,0.7994269425
1,18,2,0.7372098075,77.49275558,2.483490647,0.5181615209
1,18,4,0.7385881951,76.90428242,2.527421483,0.5382623077
3,19,4,0.8873567496,112.1007669,1.980812518,0.8022488054
3,19,2,0.8878823542,112.7618438,1.950128125,0.7723968081
1,19,2,0.9483885623,113.5445367,2.452754025,0.4936621122
1,19,4,0.9495565715,112.9128529,2.497106309,0.5116111614
3,20,4,1.151595556,157.2804235,1.938623032,0.7730859405
3,20,2,1.152004749,157.9046947,1.908862674,0.7460009139
1,20,2,1.214299496,158.7517067,2.42413975,0.4697271129
1,20,4,1.215346198,158.1069603,2.468100056,0.4857756433
1,20,1,1.217088741,158.0512457,2.486767655,0.4931286299
