rank,configuration,strategy,n_urgent,rule,W,W_lo,W_hi,AWT_e,SWT_u,SWT_e,OT
1,"S3, N=13, R4 - Benchmark",3,13,4,0.4172812321,0.4114315247,0.4231309395,19.72895662,2.698622698,0.09067546256,1.391561836
2,"S3, N=13, R2 - Bailey-Welch",3,13,2,0.417417276,0.411597556,0.423236996,20.29532072,2.66950616,0.2160948133,1.356775481
3,"S3, N=12, R4 - Benchmark",3,12,4,0.418204455,0.4140327796,0.4223761304,17.0826741,2.84869684,0.0902484257,1.420978901
4,"S3, N=12, R2 - Bailey-Welch",3,12,2,0.4182638036,0.4140887449,0.4224388624,17.65171588,2.818746597,0.2153757273,1.386340024
5,"S3, N=13, R1 - FCFS",3,13,1,0.4183006459,0.4124867556,0.4241145362,19.65586253,2.711713177,0.08575113065,1.404695754
6,"S3, N=12, R1 - FCFS",3,12,1,0.4192856648,0.4151166324,0.4234546972,17.02110615,2.861726011,0.08522474667,1.433885874
7,"S3, N=13, R3 - Blocking",3,13,3,0.4202719792,0.4144343205,0.4261096379,20.21024894,2.699755905,0.1874976785,1.394987049
8,"S3, N=12, R3 - Blocking",3,12,3,0.4211486286,0.416960539,0.4253367181,17.56295332,2.849465158,0.187325205,1.423521399
9,"S3, N=14, R4 - Benchmark",3,14,4,0.423240033,0.41461793,0.431862136,23.55687951,2.547184609,0.09138285482,1.362636424
10,"S3, N=11, R2 - Bailey-Welch",3,11,2,0.4235676337,0.4204181175,0.4267171499,15.77347419,2.967101157,0.2148944432,1.41601825
