week,avg_el_app_wt_hrs,avg_el_scan_wt_hrs,avg_ur_scan_wt_hrs,avg_ot_hrs,avg_objective
1,9.404161937,0.08208699215,2.809093312,1.05738283,0.3680986334
2,15.22493424,0.09068060256,2.852179916,0.8581812792,0.4075334881
3,17.89844881,0.08637031675,3.036263361,0.9777556548,0.4439009815
4,17.79329105,0.09391951958,2.893470013,0.9458214216,0.4274091149
5,18.7377921,0.09127640327,3.033710864,0.9441164167,0.4486134617
6,20.65123657,0.0939948881,2.883974729,0.9138566355,0.4433656638
7,21.90802687,0.08672741342,2.836095416,0.9159542896,0.4455266347
8,22.24683238,0.08945344391,2.787206049,0.7464272088,0.4421111823
9,22.53040152,0.09040436622,2.932537535,0.9113147381,0.4599470367
10,22.36234834,0.08797659703,2.869893005,0.9415271276,0.4519862169
11,20.84013491,0.09242300257,2.831027307,0.8527830369,0.4386070117
12,20.3608263,0.09760191139,3.028043295,1.104768168,0.4576446496
13,22.75348618,0.08958131755,2.818436822,0.9774175078,0.4485970646
14,23.97108168,0.0907205483,2.884181582,1.086534724,0.4631496302
15,23.62209828,0.09553517886,3.062450218,0.9442095649,0.4808799742
16,23.69480415,0.08943569222,2.731080575,1.068314368,0.4444938982
17,23.36096407,0.08414458081,2.891079748,0.9043834423,0.4602844407
18,22.82887176,0.08628710228,2.878827064,1.010986026,0.4557558152
19,22.81590975,0.08675021142,2.943744449,1.014823111,0.4628917031
20,22.52355732,0.0918145556,2.783997727,0.8447198422,0.4434018744
21,22.31053451,0.08466082652,2.734254029,0.8765169957,0.4366068038
22,24.1798449,0.08589877124,2.905959343,0.9333400222,0.4668120197
23,22.45517406,0.08520253807,2.962144855,0.9926716972,0.4627889565
24,24.02322624,0.08524659527,2.959543505,0.9582865795,0.4718335615
25,24.6330582,0.09262370928,2.950848652,1.033214414,0.4744974188
26,24.63654723,0.08817663108,2.803956723,0.9519337464,0.4581968614
27,24.08760535,0.09268282702,2.970735161,1.168310102,0.4734602878
28,25.24991629,0.09121481261,2.876093132,0.9264939016,0.4698630243
29,24.49488736,0.09296400849,2.876551948,1.051367046,0.465419784
30,23.86719041,0.0918497696,2.970745944,1.0985535,0.4721494922
