strategy,n_urgent,rule,mean_objective,ci_lo_objective,ci_hi_objective,mean_el_app_wt,ci_lo_el_app,ci_hi_el_app,mean_ur_scan_wt,ci_lo_ur_scan,ci_hi_ur_scan,mean_el_scan_wt,mean_ot
1,10,1,0.4543534158,0.4535915776,0.4551152539,12.96100284,12.86557866,13.05642702,3.394841304,3.390373729,3.39930888,0.08698849554,0.9844777309
1,10,2,0.4512372527,0.4504766888,0.4519978166,13.58692962,13.49090439,13.68295486,3.333264044,3.328789094,3.337738995,0.2272509751,0.9492409501
1,10,3,0.4555960232,0.4548330726,0.4563589738,13.4212413,13.32535547,13.51712713,3.381369139,3.376905116,3.385833162,0.1819044844,0.976862349
1,10,4,0.452685316,0.4519243064,0.4534463255,13.02258289,12.92709123,13.11807455,3.376529475,3.372060076,3.380998873,0.09220884366,0.9740022288
1,11,1,0.4456196603,0.4447685109,0.4464708097,13.87792236,13.76154028,13.99430444,3.267116817,3.262788,3.271445633,0.08758015218,0.973667885
1,11,2,0.4425589777,0.4417095723,0.4434083832,14.50420217,14.38722968,14.62117467,3.206019969,3.201678631,3.210361306,0.2296597993,0.9385949084
1,11,3,0.4469763805,0.4461243912,0.4478283698,14.36267263,14.24574055,14.47960471,3.253358533,3.249028004,3.257689063,0.1837577291,0.9661608799
1,11,4,0.4439848266,0.4431340237,0.4448356294,13.93931067,13.82283338,14.05578797,3.249114653,3.244783599,3.253445708,0.09295943777,0.9632850047
1,12,1,0.438728916,0.4377283392,0.4397294929,15.12523712,14.97807887,15.27239537,3.138279684,3.134024282,3.142535086,0.08785344204,0.9628226365
1,12,2,0.4357973768,0.4347971962,0.4367975574,15.75520268,15.60736389,15.90304147,3.078147677,3.073869137,3.082426216,0.23169863,0.9278165254
1,12,3,0.440179039,0.4391752191,0.4411828588,15.63531376,15.48751128,15.78311624,3.124005256,3.119719128,3.128291384,0.1851901223,0.9551455485
1,12,4,0.4371284527,0.4361286221,0.4381282833,15.18690738,15.03971794,15.33409681,3.12057175,3.116309087,3.124834414,0.09336586545,0.9524525675
1,13,1,0.4343912412,0.4331313429,0.4356511395,16.83076959,16.6352613,17.02627789,3.0078728,3.003747726,3.011997874,0.08802066371,0.951674143
1,13,2,0.4316345926,0.4303749917,0.4328941936,17.46886411,17.2727343,17.66499392,2.948879328,2.94474515,2.953013506,0.2336165768,0.9169790299
1,13,3,0.4360684776,0.4348050661,0.437331889,17.37278527,17.17642565,17.56914489,2.993931373,2.989800174,2.998062572,0.186717762,0.9442375213
1,13,4,0.4328392999,0.431581088,0.4340975118,16.89240455,16.69695608,17.08785301,2.990603455,2.986479264,2.994727647,0.09369738963,0.9414004624
1,14,1,0.4337275481,0.4320434187,0.4354116774,19.14287408,18.87033406,19.4154141,2.878036821,2.874020441,2.882053201,0.08774653309,0.9401557253
1,14,2,0.4312606189,0.4295781907,0.4329430472,19.79465845,19.52157064,20.06774626,2.820917439,2.816881723,2.824953155,0.2348630347,0.9058027545
1,14,3,0.4354656424,0.4337786416,0.4371526433,19.69057892,19.4171683,19.96398953,2.86433834,2.860320423,2.868356257,0.1876094928,0.9326523859
1,14,4,0.4322544561,0.4305724002,0.4339365119,19.20519248,18.93280947,19.4775755,2.861440507,2.857413926,2.865467088,0.09361120177,0.9299933848
1,15,1,0.4370887582,0.4347376382,0.4394398782,22.40778568,22.01909116,22.7964802,2.733381734,2.729534917,2.73722855,0.08823496476,0.7610647233
1,15,2,0.4344839074,0.432132202,0.4368356128,23.07284821,22.68343538,23.46226103,2.674309727,2.670458204,2.67816125,0.2367317879,0.7272958369
1,15,3,0.4390031563,0.4366480863,0.4413582262,23.00406351,22.6145549,23.39357212,2.718667862,2.714812286,2.722523438,0.1891707066,0.7533655104
1,15,4,0.4355578053,0.4332079646,0.4379076459,22.47154322,22.08295731,22.86012913,2.716187575,2.712336194,2.720038955,0.09414574458,0.7510501585
1,16,1,0.4475780799,0.4441162722,0.4510398877,26.88651073,26.30835979,27.46466168,2.58785393,2.584355081,2.591352779,0.08866902654,0.5804979327
1,16,2,0.444855447,0.4413971755,0.4483137186,27.56243502,26.98371182,28.14115823,2.527140004,2.523641098,2.53063891,0.2384701386,0.5473652263
1,16,3,0.4494744918,0.4460127016,0.452936282,27.48906801,26.91034796,28.06778806,2.572641783,2.569147211,2.576136356,0.1906930259,0.57277655
1,16,4,0.4459923516,0.4425318837,0.4494528196,26.95254406,26.37443193,27.53065619,2.570044876,2.566542208,2.573547544,0.09463302343,0.5705740764
1,17,1,0.4860552954,0.480652669,0.4914579219,33.87377903,32.96675352,34.78080455,2.559830925,2.556319336,2.563342513,0.08913299927,0.5549089832
1,17,2,0.4833038707,0.4779044726,0.4887032688,34.5553955,33.64791265,35.46287836,2.498552934,2.495053303,2.502052565,0.2401444989,0.524150046
