replication,el_app_wt,ur_scan_wt,objective
0,21.45481718,2.752725138,0.4335655938
1,19.434861,2.630837539,0.4079989785
2,15.818166,2.725184897,0.3969540719
3,15.65522583,2.797448913,0.404013525
4,15.94385655,2.663742199,0.3908752635
5,20.42774186,2.658041377,0.4169316323
6,21.94503711,2.667735837,0.4270403139
7,15.66824118,2.623568166,0.3847709143
8,15.19913835,2.698342155,0.3902868566
9,13.8649634,2.612807256,0.3728414613
10,14.96420554,2.664154689,0.3850898396
11,18.16852308,2.676981899,0.4055884039
12,17.97178116,2.719751213,0.409169467
13,17.97407335,2.709825503,0.4080802544
14,15.06390193,2.669257347,0.3862502326
15,13.66769843,2.667733824,0.3777702171
16,14.76421656,2.694205131,0.3872383671
17,16.00987014,2.624963333,0.3869594386
18,12.42647116,2.849431621,0.3905706036
19,12.4155296,2.642610459,0.3675253462
20,21.18295503,2.618007271,0.4169787148
21,22.43827372,2.644654084,0.4274116069
22,20.06343643,2.825638299,0.4333850278
23,18.49210568,2.703874491,0.4105025567
24,17.7464757,2.684399326,0.4039003757
25,13.45651879,2.697460768,0.3798161892
26,27.22095366,2.834997947,0.477029258
27,19.47587703,2.76381427,0.4230183139
28,16.59248246,2.734069002,0.4025502212
29,13.98230755,2.612379914,0.373492456
30,15.65612816,2.715130142,0.3948723659
31,15.15349908,2.6791442,0.3878820882
32,18.80475135,2.637031364,0.4049365286
33,14.35408614,2.678573004,0.3830602116
34,14.2076698,2.695907737,0.3841147673
35,13.84381957,2.725757472,0.3852656292
36,16.04070951,2.515495072,0.3749798662
37,14.6395741,2.675012029,0.3843638808
38,17.75015384,2.687993122,0.4043215801
39,14.2138805,2.66560276,0.380784516
40,15.41084378,2.748436126,0.3971130048
41,16.7240355,2.794648665,0.4100643487
42,21.50368546,2.666751255,0.4243038228
43,14.36344812,2.583945794,0.3726018032
44,17.48982564,2.614957434,0.394656931
45,23.49092376,2.623289391,0.4313035262
46,19.45261437,2.715355539,0.4174955423
47,17.61739011,2.663059227,0.4007608869
48,21.09461454,2.479775098,0.4010937483
49,16.30977516,2.566531331,0.3822521429
50,19.53389877,2.567997697,0.4016062844
51,17.4610943,2.70602913,0.4046049884
52,14.68000576,2.779151955,0.3961756483
53,18.17022486,2.731505271,0.411656686
54,13.11267402,2.668080317,0.3745049996
55,20.8931802,2.724745767,0.4271136975
56,16.94348691,2.627222654,0.392767717
57,17.10718153,2.693751844,0.4011342219
58,16.60990533,2.87005687,0.4177636919
59,16.96842763,2.84633032,0.4172614698
60,17.24309324,2.888423957,0.423573455
61,14.41529339,2.724398111,0.3885162191
62,13.74775386,2.604069293,0.3711729008
63,18.32568542,2.749298281,0.4145590476
64,14.12020073,2.686641034,0.3825644843
65,12.56521589,2.753934907,0.3807857192
66,16.94609991,2.660798767,0.3965139497
67,14.57476619,2.746559719,0.3919278627
68,16.3692732,2.68045582,0.3952645744
69,22.94806176,2.659523813,0.4320982516
70,16.38661547,2.720819356,0.3998526395
71,17.74816937,2.569079813,0.3910971778
72,17.97908119,2.691640497,0.4060895068
73,17.1732232,2.727793626,0.4053097474
