rank,configuration,strategy,n_urgent,rule,W,W_lo,W_hi,AWT_e,SWT_u,SWT_e,OT
1,"S3, N=15, R4 - Benchmark",3,15,4,0.3858539594,0.3834875085,0.3882204102,21.74120633,2.307978152,0.08052730809,0.9429374639
2,"S3, N=15, R2 - Bailey-Welch",3,15,2,0.3860392832,0.3836711882,0.3884073781,22.32323545,2.278465935,0.2038962827,0.9145981013
3,"S3, N=15, R1 - FCFS",3,15,1,0.3869772477,0.3846079228,0.3893465725,21.68049127,2.321340339,0.0751241218,0.9538494047
4,"S3, N=16, R4 - Benchmark",3,16,4,0.3875613406,0.3840892592,0.391033422,26.20911095,2.08399255,0.08032735055,0.744997463
5,"S3, N=16, R2 - Bailey-Welch",3,16,2,0.3875632851,0.3840917187,0.3910348516,26.795934,2.052573102,0.2047239056,0.7164041446
6,"S3, N=16, R1 - FCFS",3,16,1,0.3887461895,0.3852706025,0.3922217764,26.14549063,2.098064421,0.07487843432,0.7559824086
7,"S3, N=15, R3 - Blocking",3,15,3,0.3891692652,0.3868014084,0.391537122,22.27908932,2.309000745,0.1766801249,0.9460421319
8,"S3, N=16, R3 - Blocking",3,16,3,0.3909096341,0.3874369854,0.3943822829,26.75168156,2.08506091,0.1774955118,0.7479873229
9,"S3, N=14, R4 - Benchmark",3,14,4,0.3914621376,0.3897625282,0.3931617469,18.54797084,2.529517943,0.08063275787,1.138981911
10,"S3, N=14, R2 - Bailey-Welch",3,14,2,0.3917930166,0.3900900784,0.3934959549,19.12154033,2.501768918,0.2028875403,1.110837007
