week,avg_el_app_wt_hrs,avg_el_scan_wt_hrs,avg_ur_scan_wt_hrs,avg_ot_hrs,avg_objective
1,8.508506254,0.08558318571,3.044828805,1.080725692,0.3889601822
2,13.09436487,0.09091036001,2.872189087,1.011301035,0.3970747688
3,15.74272386,0.08232988029,2.914148342,0.9469448999,0.4175009499
4,16.89853057,0.08164163266,2.741558787,0.9140441281,0.4052041345
5,16.20724066,0.08717413435,2.753164575,0.7824563063,0.4023788456
6,18.10281007,0.08544933727,2.832943759,0.8057006004,0.4225263506
7,21.38017798,0.08791920052,2.759686607,0.8954619327,0.4338948094
8,22.42043253,0.08726679767,2.845542766,1.012381401,0.449626374
9,21.32677636,0.09436492458,2.844635014,0.945294453,0.4430156545
10,21.26884029,0.0929720729,2.903970946,1.009494295,0.4492636782
11,20.73092789,0.09091218632,2.947810045,1.012361136,0.4509328297
12,20.65076403,0.093791344,2.880362228,1.123062398,0.442961462
13,19.97961898,0.08827833005,3.056177448,1.029053545,0.4585015754
14,19.00091387,0.0879981959,2.824792333,0.8567536467,0.4269664926
15,20.37469045,0.0931995076,2.885889647,1.088134962,0.4419323246
16,20.27340544,0.08803051523,2.91726485,0.9995226595,0.4448155713
17,18.9991281,0.08386163074,2.809885273,0.8508187907,0.425299523
18,20.10927702,0.09300569386,2.803434739,0.9412697773,0.4311908262
19,20.49272552,0.08927309021,2.894777733,0.9774497789,0.4436224794
20,19.60033262,0.08954632436,2.758442774,0.9833289406,0.4231622881
21,18.80670836,0.08846855667,2.819725068,1.047620922,0.425247478
22,19.27923681,0.08783319276,2.926518896,0.8820623447,0.4399261282
23,19.83541729,0.08827809768,2.815093887,0.9289206697,0.4308561697
24,19.90617137,0.09718808864,2.957318121,0.9332554447,0.4470800177
25,21.94996743,0.09131099839,2.841698184,0.9175634388,0.4463988107
26,23.11332625,0.08786910148,2.882563948,1.019034119,0.457864206
27,22.46063812,0.08889970581,2.858809896,0.8805652601,0.4513398185
28,21.44090592,0.08640206373,2.765824396,0.7844137587,0.4349382618
29,20.979991,0.0889716601,2.779987807,0.738450943,0.433768433
30,25.25182968,0.08408288635,2.905637812,0.9802919973,0.4731571557
31,24.4991477,0.09028632228,2.90777067,0.9977365747,0.4689138901
32,21.124573,0.08505864451,2.826551696,0.8343453368,0.4398028054
33,21.64882316,0.09063264687,2.922389224,0.8715622856,0.4535719564
34,22.85600029,0.08971009633,2.79898691,0.799722981,0.4470461663
35,22.59816114,0.09280421428,2.760509791,0.7390598843,0.441236174
36,21.30028006,0.08408874994,3.043409427,1.189857371,0.4649439843
37,20.42359965,0.08664659652,2.885133582,0.903535349,0.4421394435
38,19.94289592,0.08761057862,2.800872842,0.9282316533,0.4299158074
