strategy,n_urgent,rule,mean_objective,ci_lo_objective,ci_hi_objective,mean_el_app_wt,ci_lo_el_app,ci_hi_el_app,mean_ur_scan_wt,ci_lo_ur_scan,ci_hi_ur_scan,mean_el_scan_wt,mean_ot
1,10,1,0.461774,0.458881,0.464666,14.1681,13.7765,14.5597,3.39696,3.38253,3.41139,0.080712,0.847496
1,10,2,0.459906,0.457032,0.462781,14.7982,14.4061,15.1903,3.3464,3.33197,3.36082,0.221365,0.817524
1,10,3,0.463481,0.460606,0.466356,14.6411,14.2494,15.0328,3.38699,3.37261,3.40136,0.175933,0.841106
1,10,4,0.460565,0.457687,0.463444,14.2265,13.8362,14.6169,3.38295,3.36854,3.39736,0.086351,0.838949
1,11,1,0.454076,0.450667,0.457485,15.3704,14.8723,15.8686,3.26327,3.24946,3.27707,0.0814545,0.835591
1,11,2,0.452249,0.448854,0.455645,16.0052,15.5056,16.5048,3.21282,3.1991,3.22655,0.223492,0.805992
1,11,3,0.455904,0.452505,0.459304,15.8722,15.3731,16.3714,3.25284,3.23911,3.26658,0.177763,0.829395
1,11,4,0.452853,0.449458,0.456248,15.4279,14.9313,15.9245,3.24918,3.23539,3.26298,0.0871782,0.827063
1,12,1,0.45007,0.445635,0.454505,17.0941,16.4093,17.7788,3.13488,3.12125,3.14851,0.081881,0.824398
1,12,2,0.448187,0.443768,0.452605,17.7313,17.0447,18.418,3.08379,3.07019,3.09738,0.225425,0.794643
1,12,3,0.452013,0.447579,0.456447,17.6243,16.9367,18.3118,3.12396,3.11035,3.13756,0.179519,0.818187
1,12,4,0.448871,0.444454,0.453287,17.1581,16.4753,17.8409,3.12065,3.10703,3.13427,0.0876535,0.815901
1,13,1,0.449846,0.443918,0.455773,19.4765,18.5299,20.4232,3.00523,2.99205,3.0184,0.0823706,0.812797
1,13,2,0.447983,0.442061,0.453906,20.1229,19.1725,21.0732,2.95384,2.94068,2.967,0.226877,0.783003
1,13,3,0.451938,0.445992,0.457885,20.038,19.0872,20.9889,2.99398,2.98082,3.00713,0.181097,0.806607
1,13,4,0.448647,0.442733,0.454562,19.5402,18.5946,20.4858,2.99103,2.97785,3.00421,0.0881941,0.804349
1,14,1,0.454768,0.446716,0.462819,22.7796,21.4616,24.0977,2.87257,2.85969,2.88545,0.0825384,0.800477
1,14,2,0.453027,0.444979,0.461075,23.4423,22.1211,24.7636,2.8214,2.80848,2.83433,0.228576,0.771177
1,14,3,0.456845,0.448787,0.464904,23.3449,22.0236,24.6662,2.86099,2.84811,2.87386,0.182402,0.794226
1,14,4,0.453562,0.445525,0.461598,22.8447,21.5283,24.1611,2.85823,2.84533,2.87113,0.0884129,0.792092
1,15,1,0.468469,0.45678,0.480158,27.7233,25.7868,29.6599,2.73104,2.71855,2.74354,0.0829015,0.65774
1,15,2,0.466616,0.454924,0.478307,28.3975,26.457,30.338,2.67825,2.66571,2.69079,0.230369,0.628121
1,15,3,0.470679,0.458969,0.48239,28.3272,26.3857,30.2688,2.71858,2.70605,2.73112,0.183907,0.65124
1,15,4,0.46717,0.455488,0.478852,27.7834,25.8473,29.7196,2.71613,2.70362,2.72865,0.0888562,0.649273
1,16,1,0.495599,0.477729,0.513469,34.9838,31.9962,37.9714,2.58626,2.57515,2.59736,0.0833592,0.514017
1,16,2,0.493468,0.475596,0.51134,35.6532,32.6608,38.6457,2.53122,2.52012,2.54232,0.23187,0.483757
1,16,3,0.497573,0.479679,0.515467,35.5598,32.5659,38.5538,2.57316,2.56203,2.5843,0.185212,0.507198
1,16,4,0.49424,0.476378,0.512103,35.0413,32.0536,38.029,2.57095,2.55984,2.58206,0.0893854,0.50554
1,17,1,0.561806,0.533973,0.589639,46.6567,41.9912,51.3223,2.55679,2.54559,2.56798,0.0834345,0.48798
1,17,2,0.559727,0.531875,0.587579,47.3351,42.6619,52.0083,2.50174,2.49061,2.51287,0.233324,0.460695
1,17,3,0.563702,0.535806,0.591598,47.2315,42.5549,51.9081,2.54306,2.53181,2.55431,0.18659,0.481723
1,17,4,0.560455,0.532623,0.588286,46.7179,42.0512,51.3847,2.54134,2.53016,2.55253,0.0895305,0.480159
1,18,1,0.670159,0.628796,0.711523,65.3951,58.4528,72.3374,2.52813,2.517,2.53925,0.0838238,0.461573
1,18,2,0.668346,0.62693,0.709762,66.1258,59.1729,73.0787,2.47266,2.46158,2.48373,0.234988,0.437076
