replication,el_app_wt,el_scan_wt,ur_scan_wt,ot,objective
0,16.6417,0.0817764,2.82511,1.18533,0.412959
1,19.0235,0.0778884,2.84367,1.2597,0.429199
2,12.3221,0.0799541,2.87994,1.2302,0.393339
3,12.155,0.0799354,2.85768,1.17461,0.389871
4,14.3646,0.0811204,2.82291,1.18584,0.39916
5,17.7114,0.0838706,2.81684,1.21823,0.418407
6,14.7844,0.0825479,2.74677,1.18502,0.3932
7,18.2984,0.0818108,2.77075,1.24333,0.41678
8,18.7328,0.0845614,2.80728,1.18104,0.423425
9,18.2469,0.0808571,2.75543,1.14042,0.414771
10,16.9685,0.0832453,2.95294,1.3295,0.429108
11,15.5392,0.084121,2.83581,1.33107,0.407585
12,17.4818,0.0840278,2.77491,1.16361,0.412382
13,14.3751,0.0800225,2.83612,1.20776,0.400691
14,13.5512,0.0817011,2.78493,1.22245,0.390099
15,18.2284,0.0821893,2.79723,1.25284,0.419306
16,17.7592,0.0812608,2.86696,1.28598,0.424261
17,18.5954,0.0807584,2.88805,1.27007,0.431582
18,18.999,0.0811783,2.80409,1.25442,0.424655
19,14.4658,0.081226,2.79691,1.19555,0.396874
20,14.7783,0.0822647,2.765,1.15788,0.395188
21,20.0535,0.0803985,2.85162,1.17387,0.436212
22,13.9558,0.0770139,2.83415,1.22743,0.397976
23,19.257,0.0831561,2.72898,1.2002,0.417845
24,15.8668,0.0794359,2.86929,1.24199,0.413255
25,15.916,0.0782465,2.83199,1.28903,0.409403
26,15.5323,0.0829913,2.75584,1.23023,0.398658
27,23.6336,0.0818364,2.77916,1.16043,0.449472
28,16.1702,0.0816797,2.79262,1.19211,0.406542
29,13.7514,0.0822642,2.87193,1.2673,0.400956
30,13.1942,0.0791684,2.79657,1.19018,0.389266
31,19.802,0.0792026,2.92956,1.22268,0.443376
32,14.0515,0.0847293,2.83438,1.29821,0.398571
33,14.794,0.0831277,2.75015,1.18209,0.393632
34,14.4136,0.0808183,2.8581,1.12801,0.403362
35,16.6184,0.0812303,2.87698,1.14402,0.418583
36,14.9369,0.0777263,2.77563,1.12585,0.397313
37,13.1001,0.0829189,2.77707,1.25733,0.386539
38,12.2203,0.082077,2.6732,1.09495,0.369762
39,13.9902,0.0809081,2.89732,1.24727,0.4052
40,20.9919,0.085018,2.83864,1.21162,0.440356
41,12.1251,0.080401,2.75006,1.21259,0.377735
42,15.814,0.0812228,2.78795,1.15796,0.403904
43,11.6947,0.0775513,2.82146,1.19776,0.383107
44,17.529,0.0791711,2.79609,1.26964,0.415015
45,13.3562,0.0797885,2.73444,1.22286,0.383328
46,18.3784,0.0834741,2.88607,1.22467,0.43007
47,15.8211,0.0804476,2.9348,1.31882,0.420262
48,14.8334,0.0796151,2.88031,1.21435,0.408328
49,21.1388,0.0795931,2.82221,1.19718,0.439405
50,15.1411,0.0800199,2.80681,1.26118,0.401993
51,20.1732,0.0812002,2.7486,1.21162,0.425479
52,20.916,0.0830997,2.80454,1.26224,0.436116
53,15.3002,0.0814679,2.79391,1.27387,0.401507
54,15.275,0.0831864,2.84461,1.20224,0.406991
55,16.5771,0.0806311,2.8029,1.16969,0.410106
56,16.7242,0.0813952,2.81683,1.18591,0.41253
57,16.5022,0.0789124,2.83728,1.20831,0.413481
58,14.7773,0.0804966,2.8432,1.2198,0.403872
59,14.4552,0.0838438,2.82666,1.18615,0.400117
60,13.8159,0.0798211,2.88246,1.24672,0.40251
61,14.7176,0.0818605,2.8681,1.28377,0.406283
62,17.923,0.081099,2.8469,1.18373,0.423007
63,13.9851,0.0801439,2.82019,1.24452,0.396599
64,18.2045,0.0815856,2.96891,1.28922,0.438239
65,13.5851,0.0804394,2.79774,1.06569,0.391724
66,15.8081,0.0855043,2.86795,1.20717,0.412757
67,13.5796,0.0797871,2.85707,1.25809,0.398283
68,14.854,0.0787948,2.79094,1.18644,0.398522
69,12.1513,0.0805893,2.91472,1.32872,0.396187
70,18.4509,0.0832813,2.90987,1.25552,0.433145
71,14.0143,0.0802769,2.87987,1.25619,0.403404
72,23.4955,0.0855271,2.81584,1.14181,0.452726
73,16.1828,0.0820336,2.72799,1.04296,0.399436
74,13.5427,0.0815104,2.81471,1.3262,0.393357
75,14.8554,0.0765908,2.69234,1.13549,0.387574
76,18.4539,0.0806016,2.73199,1.15751,0.413399
77,21.0483,0.0805176,2.7801,1.10615,0.434187
78,15.6458,0.0787689,2.83021,1.24058,0.407597
79,17.6213,0.0829122,2.77287,1.22126,0.412985
80,12.9603,0.0799602,2.75214,1.13656,0.382938
81,19.0148,0.0807682,2.85743,1.2095,0.430676
82,25.8384,0.0824889,2.81349,1.215,0.46641
83,12.0379,0.0792626,2.7849,1.1969,0.381088
84,15.3058,0.0820949,2.85312,1.21039,0.408119
85,16.4595,0.0815328,2.87554,1.28816,0.417477
86,14.2864,0.0810192,2.80023,1.21305,0.396174
87,17.0513,0.0780283,2.80426,1.26864,0.41308
88,15.9908,0.0829688,2.85763,1.3222,0.412698
89,20.8429,0.0833349,2.8408,1.21746,0.43971
90,20.7566,0.085493,2.9182,1.24923,0.447796
91,13.4739,0.0768145,2.84226,1.23479,0.396008
92,32.1013,0.0796641,2.88945,1.23887,0.51213
93,17.0826,0.0808075,2.91246,1.20716,0.425289
94,12.2979,0.0820165,2.80243,1.29099,0.384583
95,22.732,0.0814273,2.77357,1.22391,0.443484
96,13.5645,0.0820348,2.91113,1.28412,0.4042
97,13.8563,0.0778234,2.7818,1.14011,0.391567
98,18.3784,0.0860584,2.82209,1.27307,0.42296
99,26.1878,0.083252,2.80859,1.26023,0.467946
